,Economics,House,Society,Fashion,Education,Technology,Politics,PE,Game,Entertainment
基金净值,1333.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
客户,1751.0,1576.0,246.0,44.0,167.0,39.0,35.0,29.0,36.0,22.0
评论,1573.0,2974.0,57.0,28.0,71.0,10.0,411.0,126.0,32.0,264.0
增长率,1567.0,34.0,0.0,2.0,8.0,2.0,24.0,4.0,11.0,2.0
基民,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
折价率,1119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
兴业,1348.0,29.0,10.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0
估值,1702.0,24.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0
跌幅,1537.0,61.0,0.0,0.0,1.0,5.0,11.0,3.0,0.0,98.0
券商,1588.0,17.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,2.0
板块,1828.0,552.0,9.0,0.0,18.0,1.0,19.0,1.0,22.0,6.0
整体,1756.0,744.0,37.0,428.0,223.0,539.0,214.0,196.0,87.0,102.0
总监,1207.0,145.0,19.0,28.0,50.0,2.0,34.0,20.0,38.0,86.0
重仓股,1119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
全球,1764.0,529.0,72.0,170.0,351.0,145.0,736.0,89.0,355.0,1031.0
基指,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
本报记者,1200.0,136.0,615.0,9.0,133.0,0.0,174.0,118.0,0.0,194.0
开户数,937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公告,1488.0,90.0,50.0,4.0,47.0,0.0,201.0,3.0,331.0,15.0
流动性,1363.0,177.0,7.0,6.0,5.0,0.0,20.0,3.0,0.0,1.0
基金业,1036.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
核心,1356.0,1012.0,42.0,32.0,161.0,60.0,433.0,628.0,107.0,69.0
渠道,1238.0,123.0,55.0,21.0,141.0,44.0,276.0,18.0,100.0,27.0
个股,1448.0,28.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
小盘,1073.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
领先,1078.0,69.0,6.0,10.0,22.0,35.0,19.0,1992.0,204.0,31.0
能力,1534.0,312.0,385.0,499.0,2066.0,2665.0,1117.0,1962.0,469.0,216.0
业内人士,1167.0,332.0,29.0,8.0,65.0,3.0,31.0,22.0,44.0,140.0
持有人,909.0,2.0,4.0,0.0,13.0,0.0,4.0,0.0,0.0,3.0
企业,1702.0,3040.0,549.0,106.0,542.0,35.0,3294.0,47.0,224.0,45.0
风格,1177.0,437.0,17.0,962.0,81.0,450.0,21.0,220.0,458.0,567.0
水平,1407.0,402.0,81.0,342.0,1028.0,248.0,1011.0,290.0,51.0,97.0
金融,1296.0,627.0,53.0,7.0,296.0,1.0,560.0,10.0,6.0,102.0
趋势,1267.0,318.0,18.0,170.0,239.0,30.0,185.0,60.0,49.0,65.0
信托,870.0,131.0,1.0,0.0,9.0,0.0,22.0,0.0,0.0,6.0
季度,1037.0,72.0,7.0,5.0,5.0,4.0,42.0,0.0,19.0,0.0
偏股,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
全景网,823.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
金额,1042.0,242.0,199.0,8.0,111.0,0.0,167.0,78.0,72.0,26.0
统计数据,907.0,111.0,5.0,8.0,58.0,0.0,59.0,15.0,2.0,57.0
熊市,757.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
牛市,850.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
主题,1019.0,555.0,27.0,105.0,336.0,81.0,272.0,35.0,293.0,300.0
老鼠,842.0,2.0,27.0,12.0,2.0,0.0,1.0,2.0,39.0,29.0
时间,1538.0,1022.0,1501.0,1778.0,5026.0,769.0,1126.0,6907.0,3628.0,2922.0
盈利,1051.0,85.0,13.0,1.0,23.0,2.0,15.0,36.0,33.0,17.0
幅度,967.0,133.0,5.0,43.0,115.0,31.0,77.0,22.0,13.0,18.0
季报,1037.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
市值,955.0,30.0,7.0,2.0,6.0,1.0,5.0,26.0,3.0,10.0
分析师,1012.0,149.0,3.0,2.0,9.0,0.0,12.0,11.0,12.0,10.0
货币,1098.0,135.0,18.0,1.0,27.0,1.0,168.0,2.0,50.0,4.0
地产,1026.0,3214.0,23.0,9.0,12.0,0.0,20.0,10.0,2.0,14.0
股份,1190.0,172.0,51.0,15.0,19.0,2.0,45.0,40.0,13.0,32.0
原因,1159.0,539.0,742.0,958.0,856.0,94.0,400.0,1021.0,201.0,511.0
费率,731.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0
账户,862.0,32.0,261.0,0.0,83.0,0.0,102.0,14.0,23.0,7.0
招商,862.0,163.0,18.0,0.0,1.0,0.0,5.0,4.0,0.0,10.0
品种,1008.0,29.0,17.0,47.0,10.0,9.0,122.0,0.0,11.0,5.0
因素,1116.0,469.0,69.0,435.0,283.0,39.0,357.0,240.0,74.0,97.0
股东,1006.0,93.0,37.0,1.0,14.0,0.0,26.0,22.0,1.0,14.0
重点,1016.0,437.0,118.0,194.0,1081.0,85.0,1709.0,129.0,97.0,85.0
中心,1107.0,2301.0,768.0,158.0,945.0,130.0,901.0,466.0,202.0,196.0
银河证券,694.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
杠杆,716.0,54.0,2.0,0.0,2.0,0.0,11.0,1.0,0.0,4.0
政策,1164.0,2309.0,102.0,14.0,1768.0,2.0,2230.0,71.0,11.0,51.0
有限公司,995.0,644.0,364.0,41.0,77.0,190.0,205.0,18.0,522.0,152.0
团队,711.0,182.0,59.0,32.0,173.0,19.0,87.0,331.0,974.0,352.0
总经理,769.0,276.0,129.0,12.0,48.0,19.0,74.0,542.0,29.0,42.0
股指,836.0,4.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0
计划,984.0,545.0,212.0,243.0,4330.0,59.0,1075.0,482.0,232.0,881.0
理财产品,638.0,9.0,8.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0
创业板,1007.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0
友邦,529.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0
后市,777.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
现金,695.0,104.0,676.0,12.0,82.0,3.0,79.0,16.0,135.0,22.0
单位,868.0,345.0,837.0,89.0,476.0,9.0,1459.0,14.0,55.0,97.0
数量,879.0,260.0,98.0,143.0,479.0,68.0,277.0,56.0,570.0,119.0
评价,689.0,109.0,98.0,45.0,399.0,29.0,470.0,388.0,80.0,310.0
套利,598.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
年报,609.0,45.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
上证指数,660.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
报告,872.0,354.0,246.0,90.0,322.0,13.0,1335.0,68.0,75.0,31.0
走势,847.0,245.0,4.0,1.0,20.0,9.0,35.0,29.0,2.0,32.0
天相,376.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
投资人,603.0,27.0,15.0,2.0,50.0,0.0,14.0,28.0,7.0,68.0
动力,777.0,103.0,16.0,42.0,72.0,3.0,178.0,87.0,68.0,47.0
信息,838.0,5187.0,781.0,101.0,11374.0,472.0,1374.0,95.0,725.0,129.0
阶段,826.0,336.0,115.0,131.0,1091.0,22.0,467.0,311.0,326.0,248.0
研究员,639.0,57.0,13.0,25.0,26.0,0.0,46.0,0.0,7.0,6.0
价格,924.0,2879.0,333.0,209.0,131.0,2716.0,993.0,61.0,177.0,59.0
宏观经济,669.0,118.0,0.0,0.0,5.0,0.0,115.0,0.0,0.0,0.0
标的,552.0,15.0,15.0,2.0,7.0,0.0,14.0,2.0,0.0,0.0
交易日,686.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
方向,754.0,199.0,361.0,216.0,582.0,239.0,435.0,134.0,204.0,115.0
收盘,663.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
上证综指,562.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
程度,774.0,386.0,165.0,374.0,430.0,135.0,283.0,310.0,210.0,259.0
方式,832.0,813.0,637.0,998.0,1418.0,457.0,1460.0,652.0,1205.0,581.0
证券时报,538.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压力,773.0,348.0,387.0,732.0,382.0,20.0,213.0,469.0,132.0,391.0
基准,514.0,58.0,0.0,4.0,4.0,4.0,11.0,1.0,9.0,1.0
股票投资,431.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
保本,420.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0
小幅,577.0,87.0,0.0,1.0,11.0,35.0,12.0,1.0,3.0,4.0
博时基金,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
人员,656.0,374.0,1497.0,202.0,782.0,42.0,1897.0,178.0,152.0,165.0
股价,635.0,54.0,1.0,0.0,0.0,0.0,6.0,0.0,7.0,2.0
信心,597.0,187.0,76.0,47.0,113.0,8.0,233.0,395.0,59.0,174.0
债市,523.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资格,523.0,74.0,94.0,16.0,1769.0,3.0,253.0,202.0,127.0,46.0
周报,485.0,13.0,26.0,2.0,12.0,0.0,14.0,0.0,1.0,1.0
年度,566.0,154.0,41.0,39.0,209.0,20.0,251.0,245.0,218.0,293.0
基本面,553.0,24.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
遭遇,549.0,62.0,362.0,57.0,82.0,5.0,67.0,574.0,41.0,251.0
空间,673.0,1454.0,99.0,132.0,163.0,192.0,230.0,456.0,246.0,601.0
中小板,538.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新股,591.0,19.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
轮动,294.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
类型,614.0,233.0,22.0,162.0,233.0,338.0,76.0,58.0,665.0,332.0
经历,608.0,195.0,317.0,164.0,488.0,19.0,163.0,665.0,255.0,650.0
溢价,484.0,129.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
环境,672.0,1154.0,207.0,504.0,768.0,459.0,957.0,182.0,280.0,205.0
权益,497.0,42.0,25.0,3.0,36.0,1.0,217.0,13.0,18.0,21.0
效应,560.0,183.0,12.0,36.0,35.0,7.0,78.0,21.0,2.0,54.0
标准,631.0,717.0,197.0,296.0,1051.0,438.0,1191.0,147.0,93.0,137.0
股票市场,458.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
债券市场,455.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
过程,723.0,535.0,896.0,607.0,1100.0,201.0,719.0,359.0,538.0,679.0
晨星,360.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
工银,277.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资源,602.0,670.0,44.0,18.0,224.0,51.0,690.0,34.0,308.0,52.0
对冲,417.0,7.0,3.0,1.0,6.0,0.0,3.0,0.0,0.0,4.0
态度,543.0,167.0,167.0,137.0,225.0,15.0,301.0,516.0,62.0,232.0
结构性,434.0,31.0,0.0,1.0,3.0,0.0,51.0,3.0,0.0,1.0
额度,475.0,59.0,17.0,2.0,43.0,2.0,19.0,14.0,21.0,64.0
经验,556.0,281.0,188.0,127.0,596.0,28.0,400.0,432.0,3332.0,235.0
背景,545.0,263.0,76.0,44.0,312.0,117.0,228.0,68.0,851.0,316.0
内需,458.0,65.0,13.0,0.0,11.0,0.0,130.0,0.0,0.0,0.0
历史,686.0,480.0,133.0,74.0,687.0,23.0,717.0,1063.0,424.0,604.0
医药,516.0,5.0,17.0,13.0,31.0,1.0,92.0,0.0,0.0,1.0
差距,452.0,92.0,32.0,13.0,98.0,24.0,162.0,641.0,46.0,51.0
收益分配,325.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
回报率,378.0,67.0,3.0,0.0,5.0,0.0,3.0,1.0,2.0,3.0
股权,541.0,100.0,5.0,0.0,7.0,0.0,50.0,25.0,0.0,7.0
资本,628.0,325.0,28.0,24.0,21.0,16.0,138.0,57.0,24.0,17.0
现象,568.0,435.0,261.0,447.0,625.0,117.0,257.0,90.0,65.0,165.0
季度末,376.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
债基,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
折价,361.0,9.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
损失,474.0,83.0,242.0,62.0,53.0,20.0,213.0,330.0,115.0,88.0
新能源,463.0,7.0,7.0,0.0,3.0,0.0,154.0,0.0,2.0,5.0
目标,561.0,362.0,179.0,167.0,427.0,53.0,1012.0,621.0,604.0,209.0
全线,424.0,52.0,3.0,0.0,12.0,14.0,11.0,2.0,23.0,20.0
分歧,406.0,21.0,17.0,1.0,12.0,1.0,137.0,172.0,6.0,13.0
迹象,451.0,96.0,75.0,34.0,11.0,1.0,55.0,74.0,4.0,24.0
煤炭,475.0,12.0,18.0,0.0,11.0,0.0,141.0,0.0,0.0,1.0
流通股,388.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
建议,543.0,252.0,417.0,819.0,986.0,68.0,1005.0,246.0,584.0,140.0
利润,499.0,233.0,62.0,3.0,35.0,9.0,87.0,23.0,24.0,29.0
国际,630.0,3146.0,166.0,241.0,1481.0,116.0,3690.0,299.0,172.0,883.0
负责人,469.0,436.0,917.0,28.0,880.0,6.0,937.0,67.0,91.0,161.0
持平,377.0,41.0,3.0,3.0,96.0,4.0,25.0,31.0,2.0,18.0
面值,350.0,5.0,35.0,0.0,2.0,0.0,2.0,0.0,10.0,4.0
总体,451.0,188.0,9.0,16.0,166.0,71.0,380.0,54.0,55.0,34.0
指标,446.0,238.0,40.0,48.0,159.0,14.0,241.0,8.0,16.0,17.0
基础,569.0,389.0,81.0,137.0,1282.0,162.0,1284.0,137.0,330.0,134.0
基金指数,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
利益,462.0,195.0,92.0,26.0,113.0,3.0,866.0,178.0,95.0,33.0
集团,544.0,1302.0,222.0,66.0,171.0,38.0,385.0,35.0,46.0,175.0
高管,224.0,45.0,46.0,4.0,22.0,0.0,8.0,15.0,7.0,7.0
理念,379.0,664.0,27.0,64.0,166.0,87.0,199.0,74.0,251.0,69.0
高位,413.0,110.0,17.0,2.0,4.0,0.0,11.0,105.0,1.0,6.0
模式,431.0,404.0,31.0,48.0,349.0,3553.0,270.0,187.0,1138.0,103.0
政府,556.0,1839.0,423.0,20.0,584.0,4.0,2689.0,21.0,13.0,99.0
特征,445.0,91.0,84.0,147.0,148.0,27.0,89.0,11.0,52.0,33.0
强势,409.0,59.0,5.0,59.0,18.0,17.0,12.0,128.0,83.0,83.0
总额,393.0,69.0,20.0,0.0,23.0,0.0,106.0,101.0,31.0,16.0
成本,433.0,601.0,65.0,25.0,132.0,87.0,210.0,21.0,41.0,388.0
佣金,297.0,14.0,9.0,0.0,6.0,0.0,14.0,1.0,2.0,6.0
布局,383.0,351.0,5.0,2.0,16.0,58.0,80.0,2.0,36.0,11.0
门槛,340.0,83.0,30.0,8.0,217.0,7.0,67.0,19.0,60.0,19.0
股型,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
费用,379.0,130.0,539.0,32.0,587.0,9.0,336.0,41.0,86.0,84.0
国金,199.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
资料,404.0,97.0,315.0,75.0,375.0,867.0,290.0,27.0,158.0,115.0
热情,359.0,129.0,75.0,104.0,102.0,14.0,96.0,187.0,298.0,216.0
监管部门,321.0,42.0,5.0,2.0,4.0,0.0,79.0,0.0,1.0,0.0
小盘股,315.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
格局,383.0,242.0,2.0,3.0,22.0,20.0,171.0,33.0,32.0,36.0
副总经理,307.0,106.0,42.0,2.0,11.0,4.0,20.0,13.0,6.0,12.0
条款,310.0,40.0,49.0,1.0,25.0,0.0,79.0,462.0,10.0,15.0
代表,463.0,468.0,180.0,297.0,297.0,204.0,1524.0,718.0,289.0,490.0
钢铁,369.0,23.0,1.0,4.0,12.0,0.0,65.0,0.0,11.0,223.0
结构,474.0,347.0,33.0,107.0,459.0,196.0,517.0,26.0,18.0,48.0
对象,387.0,83.0,170.0,110.0,314.0,143.0,232.0,172.0,102.0,150.0
热点,347.0,269.0,8.0,38.0,129.0,20.0,87.0,11.0,26.0,25.0
消息,445.0,253.0,722.0,58.0,328.0,60.0,1388.0,2707.0,288.0,1569.0
地产股,293.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
产业,406.0,544.0,20.0,9.0,134.0,15.0,797.0,17.0,218.0,65.0
银河,279.0,22.0,6.0,1.0,1.0,0.0,1.0,4.0,11.0,14.0
区间,335.0,98.0,6.0,6.0,9.0,52.0,13.0,5.0,4.0,4.0
事件,387.0,141.0,862.0,96.0,221.0,78.0,818.0,186.0,193.0,681.0
力度,362.0,263.0,55.0,58.0,102.0,6.0,810.0,29.0,36.0,31.0
发布公告,290.0,21.0,2.0,6.0,4.0,0.0,17.0,0.0,3.0,0.0
定向,293.0,35.0,13.0,0.0,55.0,4.0,8.0,0.0,2.0,1.0
大盘股,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
速度,383.0,254.0,129.0,295.0,254.0,1163.0,100.0,468.0,580.0,248.0
规范,331.0,140.0,84.0,31.0,184.0,17.0,965.0,14.0,27.0,22.0
态势,347.0,174.0,4.0,7.0,27.0,7.0,134.0,27.0,10.0,19.0
状况,362.0,173.0,131.0,209.0,169.0,30.0,315.0,189.0,38.0,139.0
投资收益,270.0,16.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0
优质,314.0,218.0,15.0,108.0,120.0,99.0,83.0,40.0,122.0,22.0
差异,324.0,50.0,24.0,66.0,142.0,49.0,72.0,40.0,27.0,36.0
信贷,362.0,282.0,3.0,0.0,2.0,0.0,96.0,0.0,0.0,3.0
密集,311.0,67.0,12.0,36.0,12.0,1.0,97.0,11.0,6.0,30.0
角度,331.0,248.0,47.0,141.0,214.0,305.0,100.0,234.0,67.0,194.0
成交量,326.0,824.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
制度,397.0,327.0,104.0,6.0,283.0,0.0,2226.0,77.0,11.0,93.0
证券市场,287.0,9.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
同类,266.0,18.0,12.0,13.0,35.0,49.0,11.0,0.0,51.0,28.0
内地,317.0,261.0,35.0,31.0,748.0,5.0,292.0,0.0,10.0,1250.0
方法,407.0,92.0,257.0,1941.0,1020.0,61.0,311.0,147.0,311.0,161.0
管理层,280.0,21.0,3.0,3.0,10.0,0.0,7.0,295.0,8.0,4.0
金融危机,350.0,290.0,82.0,5.0,76.0,5.0,1301.0,2.0,11.0,75.0
抄底,230.0,125.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0
可能性,329.0,112.0,80.0,137.0,70.0,13.0,79.0,215.0,10.0,95.0
开户,233.0,5.0,34.0,0.0,15.0,0.0,12.0,0.0,3.0,2.0
时机,295.0,73.0,31.0,57.0,31.0,14.0,94.0,65.0,46.0,41.0
状态,348.0,204.0,198.0,699.0,259.0,164.0,97.0,1400.0,365.0,323.0
思路,275.0,86.0,17.0,12.0,305.0,20.0,99.0,56.0,29.0,24.0
双利,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
人才,292.0,68.0,178.0,14.0,741.0,2.0,459.0,82.0,66.0,57.0
阶段性,257.0,23.0,1.0,3.0,11.0,0.0,58.0,2.0,3.0,2.0
方案,328.0,200.0,167.0,200.0,639.0,89.0,523.0,271.0,42.0,43.0
信托公司,211.0,36.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
利率,329.0,329.0,6.0,0.0,8.0,0.0,30.0,2.0,0.0,0.0
环球,248.0,37.0,5.0,6.0,12.0,0.0,22.0,25.0,17.0,246.0
财富,297.0,346.0,35.0,15.0,78.0,53.0,48.0,27.0,167.0,49.0
专业,305.0,281.0,377.0,236.0,9787.0,1145.0,451.0,101.0,212.0,304.0
上周五,308.0,10.0,9.0,1.0,9.0,1.0,17.0,20.0,2.0,39.0
概念,326.0,238.0,24.0,69.0,160.0,124.0,65.0,32.0,357.0,139.0
产品设计,208.0,49.0,0.0,2.0,6.0,9.0,2.0,0.0,4.0,0.0
人民币,332.0,294.0,459.0,32.0,271.0,88.0,440.0,31.0,228.0,315.0
品牌,307.0,939.0,64.0,651.0,70.0,538.0,54.0,189.0,218.0,342.0
首单,154.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资讯,275.0,57.0,1.0,8.0,39.0,163.0,25.0,8.0,227.0,18.0
景气,243.0,28.0,1.0,0.0,3.0,0.0,12.0,0.0,0.0,8.0
散户,247.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
港股,238.0,45.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
社会,405.0,682.0,728.0,182.0,1727.0,7.0,3357.0,80.0,128.0,299.0
波段,240.0,8.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
节奏,266.0,54.0,10.0,107.0,45.0,3.0,30.0,340.0,96.0,105.0
半年报,215.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
汽车,350.0,94.0,422.0,19.0,74.0,19.0,313.0,35.0,22.0,242.0
报酬,231.0,3.0,54.0,2.0,24.0,0.0,46.0,12.0,20.0,28.0
信用,269.0,41.0,34.0,3.0,29.0,0.0,98.0,4.0,1.0,1.0
保险,291.0,32.0,98.0,23.0,99.0,0.0,139.0,64.0,6.0,23.0
办法,337.0,218.0,401.0,266.0,773.0,15.0,958.0,339.0,98.0,199.0
国债,273.0,17.0,3.0,0.0,26.0,0.0,29.0,3.0,0.0,1.0
部门,348.0,488.0,909.0,50.0,624.0,6.0,2830.0,31.0,39.0,101.0
期限,267.0,70.0,66.0,13.0,43.0,6.0,126.0,26.0,26.0,12.0
吸引力,244.0,54.0,10.0,59.0,78.0,25.0,27.0,52.0,30.0,51.0
有色,254.0,3.0,0.0,4.0,1.0,3.0,19.0,0.0,1.0,1.0
责任,292.0,266.0,554.0,52.0,177.0,3.0,1043.0,221.0,44.0,107.0
成份股,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
网站,266.0,160.0,655.0,91.0,901.0,87.0,880.0,225.0,609.0,296.0
集体,272.0,113.0,150.0,35.0,152.0,14.0,254.0,109.0,46.0,117.0
观点,295.0,277.0,78.0,86.0,404.0,1522.0,107.0,207.0,35.0,78.0
周期性,226.0,23.0,1.0,35.0,2.0,0.0,6.0,1.0,4.0,0.0
平均水平,223.0,38.0,1.0,2.0,11.0,0.0,28.0,11.0,0.0,2.0
