,Economics,House,Society,Fashion,Education,Technology,Politics,PE,Game,Entertainment
份额,0.0007662153668406875,5.4374045982647755e-06,2.4873914129278686e-06,2.534824688989685e-07,3.4329409318374866e-06,3.7972039921271302e-06,5.2010297048143206e-06,6.523792270410186e-06,2.7409015772144365e-06,4.5437437570854e-06
涨幅,0.0009549896375226476,0.00011987005591629165,7.462174238783606e-07,2.534824688989685e-07,2.206890599038384e-06,1.7720285296593275e-06,1.8822774169804208e-05,5.018301746469374e-06,2.4917287065585786e-07,5.048604174539333e-07
旗下,0.0007257637374088389,0.00020711568424299463,2.4873914129278686e-06,5.0696493779793696e-06,2.4521006655982047e-06,4.7085329502376414e-05,3.715021217724515e-06,1.0036603492938748e-05,0.000149005376652203,3.357321776068657e-05
证券,0.0009135917711450247,2.347970167432517e-05,3.2336088368062294e-06,5.06964937797937e-07,3.678150998397307e-06,5.062938656169507e-07,1.5603089114442963e-05,2.509150873234687e-07,4.983457413117157e-07,1.2621510436348335e-06
数据,0.0008130540956565122,0.0001895676966758674,2.611760983574262e-05,1.672984294733192e-05,9.317982529273177e-05,0.00010379024245147489,9.31231985242945e-05,0.0004102461677738713,6.353908201724376e-05,4.720444903194277e-05
策略,0.0006649680136428443,3.5343129888721046e-05,3.731087119391803e-06,9.125368880362865e-06,2.2559326123503482e-05,2.5314693280847536e-06,1.9813446494530745e-05,3.4124451875991744e-05,6.179487192265276e-05,7.825336470535967e-06
资金,0.0008525594881425866,0.0002614897302256424,6.61646115838813e-05,2.027859751191748e-06,8.38618427634586e-05,1.2657346640423768e-06,0.0002726825573809794,1.329849962814384e-05,2.8156534384111942e-05,2.4990590663969703e-05
机构,0.0008031186077258828,0.0001435969123450834,4.1539436595895406e-05,1.7743772822927793e-05,0.00026507208195116595,1.4935669035700047e-05,0.00032246384169848786,6.774707357733654e-06,2.8904052996079513e-05,1.8679835445795537e-05
银行,0.0007938927975045839,0.00026470274203370793,0.00027037944658525934,3.802237033484527e-06,8.38618427634586e-05,2.025175462467803e-06,8.346414335821077e-05,3.211713117740399e-05,5.9801488957405894e-06,2.2718718785427003e-05
风险,0.0007340433106843635,0.00012085867493415797,2.0147870444715735e-05,7.553777573189261e-05,4.781596297916499e-05,1.5188815968508521e-06,9.634288357965575e-05,2.835340486755196e-05,9.4685690849226e-06,1.3378801062529235e-05
大盘,0.0006791615678294578,6.27773076345115e-05,1.741173989049508e-06,6.5905441913731804e-06,1.2260503327991024e-06,5.062938656169507e-07,2.476680811816343e-07,1.7564056112642808e-06,6.229321766396447e-06,1.2116650018894402e-05
经济,0.0009571186706506396,0.000538797364737146,0.00011118639615787573,2.0785562449715415e-05,0.00031288804493033093,5.822379454594934e-06,0.001429787832661575,3.487719713796215e-05,1.4701199368695615e-05,3.912668235267984e-05
比例,0.0006335056351958509,0.00011863428214395875,1.8904174738251802e-05,8.415617967445753e-05,0.00018513360025266445,4.986994576326965e-05,0.0001248247129155437,2.7600659605581556e-05,2.8904052996079513e-05,2.2466288576700037e-05
人士,0.0006552690849486583,0.00017597418518020547,6.691082900775966e-05,3.168530861237106e-05,6.914923876986937e-05,9.366436513913589e-06,0.00015504021881970309,7.100896971254164e-05,1.744210094591005e-05,5.2253053206482103e-05
封闭式,0.00043384963963748717,1.4829285267994843e-06,4.974782825855738e-07,7.604474066969054e-07,9.808402662392819e-07,5.062938656169507e-07,2.476680811816343e-07,1.0036603492938748e-06,1.993382965246863e-06,2.5243020872696667e-07
月份,0.000671591672263264,0.0002864523604267671,7.785535122464228e-05,8.871886411463897e-06,7.871243136570237e-05,1.898601996063565e-05,6.56320415131331e-05,4.667020624216518e-05,1.9684656781812773e-05,4.266070527485737e-05
收益率,0.0005086023583536518,1.013334493312981e-05,4.974782825855738e-07,2.534824688989685e-07,3.187730865277666e-06,2.531469328084754e-07,1.9813446494530746e-06,2.509150873234687e-07,4.983457413117157e-07,5.048604174539333e-07
股市,0.0006008604605666398,5.906998631751279e-05,9.452087369125901e-06,7.604474066969054e-07,1.4712603993589228e-06,7.594407984254261e-07,6.687038191904127e-06,1.2545754366173435e-06,2.9900744478702947e-06,1.5650672941071933e-05
业务,0.0006164733701719147,5.363258171924802e-05,7.238309011620097e-05,3.0417896267876217e-06,4.291176164796858e-05,4.556644790552557e-06,8.420714760175568e-05,4.767386659145905e-06,3.6877584857066964e-05,8.582627096716867e-06
交易,0.0005887959395080183,0.00011344403230016055,4.278313230235934e-05,2.2813422200907163e-06,9.563192595832999e-06,2.531469328084754e-07,4.309424612560437e-05,0.0005070993914807302,8.372208454036825e-05,2.751489275123937e-05
行情,0.0005384088221455402,2.446832069219149e-05,3.2336088368062294e-06,5.06964937797937e-07,1.4712603993589228e-06,0.00040452879862794364,1.7336765682714403e-06,3.5128112225285616e-06,1.7442100945910051e-06,3.0291625047236004e-06
优势,0.0004901507379110542,0.00016954816156407437,1.019830479300426e-05,2.2306457263109226e-05,0.00011206100041783795,0.00011467556056223934,8.073979446521279e-05,0.0003327134057909195,5.456885867363287e-05,3.2563496925778703e-05
价值,0.0005280002157420237,0.0003025174194670948,8.755617773506098e-05,2.2813422200907163e-05,3.7517140183652535e-05,1.1391611976381392e-05,3.566420369015534e-05,0.00011592277034344254,0.00011661290346694149,5.200062299775514e-05
机会,0.0005109679507180873,8.230253323737139e-05,9.427213454996622e-05,8.136787251656888e-05,0.00027414485441387926,2.9365044205783142e-05,7.652943708512501e-05,0.0006200111807762911,0.0002880438384781717,0.0001802351690310542
情况,0.0006375271422153914,0.0003185824785074226,0.0005397639366053475,0.0002372595908894345,0.0012942187313027323,7.341261051445786e-05,0.0008004632383790422,0.0004428651291259222,0.00012458643532792894,0.0001350501616689272
基金净值,0.0003155700214157077,4.943095089331614e-07,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,4.953361623632686e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
客户,0.00041445178224911534,0.0003897630477937978,6.143856789931835e-05,1.1406711100453582e-05,4.119529118204984e-05,1.0125877312339015e-05,8.916050922538835e-06,7.527452619704061e-06,9.219396214266741e-06,5.805894800720234e-06
评论,0.00037234423816216185,0.0007352853945380777,1.4426870194981638e-05,7.350991598070086e-06,1.7655124792307072e-05,2.784616260893229e-06,0.00010203924944683334,3.1866216090080525e-05,8.22270473164331e-06,6.689400531264617e-05
增长率,0.0003709248827435005,8.650416406330326e-06,2.487391412927869e-07,7.604474066969054e-07,2.206890599038384e-06,7.594407984254261e-07,6.191702029540858e-06,1.2545754366173435e-06,2.9900744478702947e-06,7.572906261809001e-07
基民,0.0002772474251118511,2.471547544665807e-07,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
折价率,0.0002649463448167861,2.471547544665807e-07,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
兴业,0.00031911840996236106,7.414642633997422e-06,2.7361305542206555e-06,2.534824688989685e-07,9.808402662392819e-07,2.531469328084754e-07,7.677710516630663e-06,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
估值,0.0004028603796633809,6.178868861664518e-06,4.974782825855738e-07,2.534824688989685e-07,4.904201331196409e-07,2.531469328084754e-07,2.476680811816343e-07,5.018301746469374e-07,9.966914826234314e-07,7.572906261809001e-07
跌幅,0.0003638281056501937,1.5323594776928005e-05,2.487391412927869e-07,2.534824688989685e-07,4.904201331196409e-07,1.5188815968508521e-06,2.9720169741796117e-06,1.0036603492938748e-06,2.4917287065585786e-07,2.4990590663969703e-05
券商,0.0003758926267088152,4.448785580398453e-06,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,8.420714760175567e-06,2.509150873234687e-07,7.475186119675737e-07,7.572906261809001e-07
板块,0.0004326668434552694,0.00013667657922001913,2.4873914129278686e-06,2.534824688989685e-07,4.658991264636589e-06,5.062938656169507e-07,4.953361623632686e-06,5.018301746469374e-07,5.730976025084731e-06,1.7670114610887669e-06
整体,0.0004156345784313331,0.00018413029207760265,9.452087369125901e-06,0.00010874397915765747,5.4927054909399785e-05,0.00013669934371657669,5.324863745405138e-05,4.943027220272333e-05,2.1927212617715492e-05,2.600031149887757e-05
总监,0.00028576355762381927,3.608459415212079e-05,4.974782825855737e-06,7.350991598070086e-06,1.2505713394550844e-05,7.594407984254261e-07,8.668382841357202e-06,5.269216833792842e-06,9.717741955578457e-06,2.1961428159246103e-05
重仓股,0.0002649463448167861,4.943095089331614e-07,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
全球,0.0004175270523228816,0.0001309920198672878,1.815795731437344e-05,4.334550218172361e-05,8.63139434290568e-05,3.6959452190037404e-05,0.0001825313758308645,2.258235785911218e-05,8.870554195348541e-05,0.00026050797540622963
基指,0.00017103232794869313,2.471547544665807e-07,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
本报记者,0.0002841076429687143,3.386020136192156e-05,0.0001532233110363567,2.5348246889896848e-06,3.285814891901594e-05,2.531469328084754e-07,4.334191420678601e-05,2.9858895391492773e-05,2.4917287065585786e-07,4.9223890701758503e-05
开户数,0.00022189256378405832,2.471547544665807e-07,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
公告,0.0003522367030644593,2.2491082656458845e-05,1.268569620593213e-05,1.2674123444948424e-06,1.1770083194871383e-05,2.531469328084754e-07,5.0028952398690135e-05,1.0036603492938748e-06,8.272539305774482e-05,4.038883339631467e-06
流动性,0.00032266679850901443,4.399354629505137e-05,1.989913130342295e-06,1.7743772822927793e-06,1.4712603993589228e-06,2.531469328084754e-07,5.2010297048143206e-06,1.0036603492938748e-06,2.4917287065585786e-07,5.048604174539333e-07
基金业,0.00024531192819197067,2.471547544665807e-07,2.487391412927869e-07,2.534824688989685e-07,7.356301996794614e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
核心,0.00032101088385390954,0.00025036776627464626,1.0695783075589835e-05,8.36492147366596e-06,3.972403078269092e-05,1.5441962901316997e-05,0.00010748794723282929,0.0001578255899264618,2.691067003083265e-05,1.7670114610887667e-05
渠道,0.00029309689395356955,3.064718955385601e-05,1.3929391912396064e-05,5.5766143157773065e-06,3.481982945149451e-05,1.1391611976381392e-05,6.860405848731271e-05,4.767386659145905e-06,2.5166459936241646e-05,7.0680458443550675e-06
个股,0.00034277433360671697,7.167487879530841e-06,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,7.594407984254261e-07,2.476680811816343e-07,7.52745261970406e-07,2.4917287065585786e-07,2.5243020872696667e-07
小盘,0.00025406461994038237,2.471547544665807e-07,2.487391412927869e-07,1.013929875595874e-06,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
领先,0.00025524741612260014,1.730083281266065e-05,1.741173989049508e-06,2.7883071578886533e-06,5.639831530875871e-06,9.113289581105113e-06,4.953361623632686e-06,0.0005000737690356731,5.108043848445086e-05,8.077766679262933e-06
能力,0.00036311842794086303,7.735943814803977e-05,9.601330853901572e-05,0.00012674123444948425,0.0005068492075791489,0.0006748897228673953,0.0002768929147610672,0.000492546316415969,0.0001171112492082532,5.477735529375177e-05
业内人士,0.00027630118816607686,8.230253323737139e-05,7.462174238783606e-06,2.2813422200907163e-06,1.618386439294815e-05,1.0125877312339015e-06,7.925378597812298e-06,5.77104700843978e-06,1.1212779179513605e-05,3.5592659430502303e-05
持有人,0.00021526890516363866,7.414642633997421e-07,1.2436957064639343e-06,2.534824688989685e-07,3.4329409318374866e-06,2.531469328084754e-07,1.2383404059081716e-06,2.509150873234687e-07,2.4917287065585786e-07,1.0097208349078667e-06
企业,0.0004028603796633809,0.0007515976083328719,0.00013680652771103278,2.7122624172189627e-05,0.0001331490661419825,9.113289581105113e-06,0.0008160663274934851,1.2043924191526496e-05,5.606389589756802e-05,1.1611789601440468e-05
风格,0.00027866678053051246,0.00010825378245636235,4.477304543270163e-06,0.00024410361754970665,2.0107225457905277e-05,0.00011416926669662238,5.448697785995955e-06,5.545223429848658e-05,0.00011437034763103877,0.00014338035855691707
水平,0.00033307540491253103,9.960336605003203e-05,2.039660958600852e-05,8.694448683234619e-05,0.00025232115849005524,6.303358626931037e-05,0.00025064009815581393,7.301629041112938e-05,1.295698927410461e-05,2.4738160455242737e-05
金融,0.000306817329667296,0.0001552131858050127,1.343191362981049e-05,2.027859751191748e-06,7.282738976826668e-05,5.062938656169507e-07,0.00013894179354289685,2.7600659605581556e-06,1.7442100945910051e-06,2.600031149887757e-05
趋势,0.00029995711181043277,7.884236667483926e-05,4.726043684562951e-06,4.334550218172361e-05,5.885041597435691e-05,7.847554917062736e-06,4.6066263099783986e-05,1.530582032673159e-05,1.2458643532792894e-05,1.66603937759798e-05
信托,0.00020604309494233987,3.262442758958865e-05,4.974782825855738e-07,2.534824688989685e-07,2.4521006655982047e-06,2.531469328084754e-07,5.696365867177589e-06,2.509150873234687e-07,2.4917287065585786e-07,1.7670114610887669e-06
季度,0.0002455484874284142,1.8042297076060394e-05,1.989913130342295e-06,1.5208948133938109e-06,1.4712603993589228e-06,1.2657346640423768e-06,1.0649727490810276e-05,2.509150873234687e-07,4.983457413117158e-06,2.5243020872696667e-07
偏股,0.00013200005393550592,2.471547544665807e-07,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
全景网,0.0001949248108294926,4.943095089331614e-07,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
金额,0.00024673128361063203,6.005860533537911e-05,4.974782825855737e-05,2.2813422200907163e-06,2.7463527454699893e-05,2.531469328084754e-07,4.1608237638514564e-05,1.9822291898554028e-05,1.8189619557877625e-05,6.815615635628101e-06
统计数据,0.00021479578669075154,2.768133250025704e-05,1.4924348477567212e-06,2.2813422200907163e-06,1.4467393927029408e-05,2.531469328084754e-07,1.486008487089806e-05,4.014641397175499e-06,7.475186119675737e-07,1.4640952106164068e-05
熊市,0.0001793119012242177,1.2357737723329037e-06,2.487391412927869e-07,2.534824688989685e-07,4.904201331196409e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,7.572906261809001e-07
牛市,0.0002013119102134687,5.4374045982647755e-06,7.462174238783606e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
主题,0.00024129042117243015,0.00013741804348341887,6.964695956198032e-06,2.686914170329066e-05,8.26357924306595e-05,2.075804849029498e-05,6.761338616258617e-05,9.032943143644872e-06,7.325682397282221e-05,7.598149282681697e-05
老鼠,0.0001994194363219202,7.414642633997421e-07,6.964695956198032e-06,3.2952720956865902e-06,7.356301996794614e-07,2.531469328084754e-07,4.953361623632686e-07,7.52745261970406e-07,9.966914826234315e-06,7.572906261809001e-06
时间,0.00036406466488663727,0.0002528393138193121,0.00037360619022176587,0.0004509453121712649,0.0012326710045962176,0.00019492313826252603,0.0002791219274917019,0.0017333214232305217,0.0009042483476101082,0.0007378535001089237
盈利,0.00024886031673862404,2.125530888412594e-05,3.482347978099016e-06,5.06964937797937e-07,5.885041597435691e-06,7.594407984254261e-07,3.962689298906149e-06,9.283858230968342e-06,8.471877602299169e-06,4.5437437570854e-06
幅度,0.0002289893408773651,3.311873709852182e-05,1.4924348477567212e-06,1.1153228631554613e-05,2.8444367720939175e-05,8.100701849871212e-06,1.9318110332167478e-05,5.77104700843978e-06,3.4884201891820102e-06,4.7961739658123675e-06
季报,0.0002455484874284142,3.46016656253213e-06,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,1.2383404059081716e-06,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
市值,0.00022615063004004238,7.661797388464002e-06,1.989913130342295e-06,7.604474066969054e-07,1.7164704659187433e-06,5.062938656169507e-07,1.4860084870898058e-06,6.774707357733654e-06,9.966914826234314e-07,2.7767322959966338e-06
分析师,0.00023963450651732525,3.707321316998711e-05,9.949565651711476e-07,7.604474066969054e-07,2.4521006655982047e-06,2.531469328084754e-07,3.2196850553612464e-06,3.010981047881624e-06,3.2392473185261525e-06,2.7767322959966338e-06
货币,0.0002599786008514713,3.361304660745498e-05,4.726043684562951e-06,5.06964937797937e-07,6.865881863674973e-06,5.062938656169507e-07,4.18559057196962e-05,7.52745261970406e-07,1.2707816403448751e-05,1.2621510436348335e-06
地产,0.00024294633582753507,0.000794602535610057,5.969739391026885e-06,2.5348246889896848e-06,3.187730865277666e-06,2.531469328084754e-07,5.2010297048143206e-06,2.7600659605581556e-06,7.475186119675737e-07,3.7864531309045004e-06
股份,0.0002817420506042787,4.275777252271847e-05,1.2934435347224918e-05,4.055719502383496e-06,4.904201331196409e-06,7.594407984254261e-07,1.1392731734355178e-05,1.0287518580262216e-05,3.4884201891820102e-06,8.3301968879899e-06
原因,0.00027440871427452843,0.00013346356741195358,0.00018481318198054064,0.00024308968767411076,0.00021014502704176614,2.404895861680516e-05,9.931490055383537e-05,0.000256435219244585,5.033291987248329e-05,0.00012924426686820693
费率,0.00017316136107668517,4.943095089331614e-07,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,9.659055166083739e-06,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
账户,0.0002041506210507914,8.156106897397163e-06,6.516965501871016e-05,2.534824688989685e-07,2.059764559102492e-05,2.531469328084754e-07,2.5509812361708334e-05,3.7637263098520305e-06,5.9801488957405894e-06,2.0194416698157333e-06
招商,0.0002041506210507914,4.053337973251924e-05,4.726043684562951e-06,2.534824688989685e-07,4.904201331196409e-07,2.531469328084754e-07,1.4860084870898058e-06,1.2545754366173435e-06,2.4917287065585786e-07,2.7767322959966338e-06
品种,0.000238688269571551,7.414642633997422e-06,4.477304543270163e-06,1.2167158507150487e-05,2.697310732158025e-06,2.5314693280847536e-06,3.0463173985341023e-05,2.509150873234687e-07,2.9900744478702947e-06,1.5145812523618002e-06
因素,0.00026423666710745537,0.00011616273459929294,1.741173989049508e-05,0.00011051835643995026,6.963965890298902e-05,1.0125877312339015e-05,8.866517306302508e-05,6.047053604495596e-05,1.8687965299189342e-05,2.4738160455242737e-05
股东,0.0002382151510986639,2.3232546919858588e-05,9.452087369125901e-06,5.06964937797937e-07,3.678150998397307e-06,2.531469328084754e-07,6.687038191904127e-06,5.77104700843978e-06,4.983457413117157e-07,3.7864531309045004e-06
重点,0.0002405807434630995,0.00010825378245636235,2.9599957813841636e-05,4.9429081435298857e-05,0.00026531729201772575,2.177063622152888e-05,0.0004235124188205947,3.261896135205093e-05,2.441894132427407e-05,2.1708997950519137e-05
中心,0.00026210763397946336,0.0005689502447820688,0.00019128039965415309,4.030371255493599e-05,0.00023196872296559016,3.3162248197910275e-05,0.00022339660922583417,0.00011717734578005988,5.058209274313915e-05,4.972875111921244e-05
银河证券,0.0001644086693282735,1.4829285267994843e-06,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,4.953361623632686e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
杠杆,0.0001696129725300318,1.359351149566194e-05,7.462174238783606e-07,2.534824688989685e-07,7.356301996794614e-07,2.531469328084754e-07,2.9720169741796117e-06,5.018301746469374e-07,2.4917287065585786e-07,1.2621510436348335e-06
政策,0.0002755915104567462,0.0005709274828178015,2.562013155315705e-05,3.802237033484527e-06,0.0004337766077443224,7.594407984254261e-07,0.0005525474891162262,1.8065886287289745e-05,2.9900744478702947e-06,1.3126370853802268e-05
有限公司,0.00023561299949778473,0.00015941481663094456,9.078978657186721e-05,1.0646263693756676e-05,1.9126385191665998e-05,4.835106416641879e-05,5.101962472341667e-05,4.767386659145905e-06,0.00013031741135301368,3.8621821935225903e-05
团队,0.000168430176347814,4.5229320067384275e-05,1.4924348477567211e-05,8.36492147366596e-06,4.266655158140876e-05,5.062938656169507e-06,2.179479114398382e-05,8.33038089913916e-05,0.00024294354888946144,8.910786368061924e-05
总经理,0.0001821506120615404,6.846186698724286e-05,3.2336088368062295e-05,3.2952720956865902e-06,1.2015293261431202e-05,5.062938656169507e-06,1.8575106088622575e-05,0.0001362468924166435,7.475186119675737e-06,1.0854498975259568e-05
股指,0.00019800008090325885,1.2357737723329037e-06,7.462174238783606e-07,2.534824688989685e-07,9.808402662392819e-07,2.531469328084754e-07,1.2383404059081716e-06,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
计划,0.0002330108478969056,0.00013494649593875308,5.29814370953636e-05,6.184972241134831e-05,0.0010620047982705825,1.5188815968508521e-05,0.00026649085535143853,0.00012119198717723538,5.805727886281489e-05,0.00022264344409718463
理财产品,0.00015116135208743418,2.4715475446658073e-06,2.2386522716350816e-06,2.534824688989685e-07,3.678150998397307e-06,2.531469328084754e-07,4.953361623632686e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
创业板,0.00023845171033510745,4.943095089331614e-07,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,1.7336765682714403e-06,7.52745261970406e-07,2.4917287065585786e-07,2.5243020872696667e-07
友邦,0.00012537639531508626,2.471547544665807e-07,2.487391412927869e-07,5.06964937797937e-07,2.4521006655982047e-07,2.531469328084754e-07,4.2103573800877835e-06,2.509150873234687e-07,2.4917287065585786e-07,5.048604174539333e-07
后市,0.00018404308595308888,1.2357737723329037e-05,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,5.048604174539333e-07
现金,0.00016464522856471706,2.5951249218990977e-05,0.0001683963986552167,3.2952720956865902e-06,2.03524355244651e-05,1.0125877312339015e-06,1.9813446494530745e-05,4.265556484498968e-06,3.3887510409196675e-05,5.805894800720234e-06
单位,0.00020556997646945275,8.551554504543694e-05,0.00020844340040335538,2.2813422200907163e-05,0.00011696520174903436,2.5314693280847536e-06,0.0003615953985251861,3.7637263098520305e-06,1.3953680756728041e-05,2.4738160455242737e-05
数量,0.0002081721280703319,6.450739091577757e-05,2.46251749879859e-05,3.650147552145146e-05,0.00011770083194871382,1.74671383637848e-05,6.885172656849434e-05,1.4302159977437716e-05,0.00014227770914449484,3.0291625047236003e-05
